YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,DEPARTURE_DELAY,ARRIVAL_DELAY,CANCELLED,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,1,4,AS,98,ANC,SEA,-11,-22,0,,,,,
2015,1,1,4,AA,2336,LAX,PBI,-8,-9,0,,,,,
2015,1,1,4,US,840,SFO,CLT,-2,5,0,,,,,
2015,1,1,4,AA,258,LAX,MIA,-5,-9,0,,,,,
2015,1,1,4,AS,135,SEA,ANC,-1,-21,0,,,,,
2015,1,1,4,DL,806,SFO,MSP,-5,8,0,,,,,
2015,1,1,4,NK,612,LAS,MSP,-6,-17,0,,,,,
2015,1,1,4,US,2013,LAX,CLT,14,-10,0,,,,,
2015,1,1,4,AA,1112,SFO,DFW,-11,-13,0,,,,,
2015,1,1,4,DL,1173,LAS,ATL,3,-15,0,,,,,
2015,1,1,4,DL,2336,DEN,ATL,-6,-30,0,,,,,
2015,1,1,4,AA,1674,LAS,MIA,-8,-10,0,,,,,
2015,1,1,4,DL,1434,LAX,MSP,0,-4,0,,,,,
2015,1,1,4,DL,2324,SLC,ATL,-6,-22,0,,,,,
2015,1,1,4,DL,2440,SEA,MSP,-1,8,0,,,,,
2015,1,1,4,AS,108,ANC,SEA,-4,-14,0,,,,,
2015,1,1,4,DL,1560,ANC,SEA,-14,-24,0,,,,,
2015,1,1,4,UA,1197,SFO,IAH,-6,-7,0,,,,,
2015,1,1,4,AS,122,ANC,PDX,-4,-18,0,,,,,
2015,1,1,4,DL,1670,PDX,MSP,-5,-12,0,,,,,
2015,1,1,4,NK,520,LAS,MCI,25,6,0,,,,,
2015,1,1,4,AA,371,SEA,MIA,-8,1,0,,,,,
2015,1,1,4,NK,214,LAS,DFW,-1,-1,0,,,,,
2015,1,1,4,AA,115,LAX,MIA,-2,-12,0,,,,,
2015,1,1,4,DL,1450,LAS,MSP,-3,-23,0,,,,,
2015,1,1,4,UA,1545,LAX,IAH,-3,-11,0,,,,,
2015,1,1,4,AS,130,FAI,SEA,-8,-3,0,,,,,
2015,1,1,4,NK,597,MSP,FLL,12,25,0,25,0,0,0,0
2015,1,1,4,US,413,LAS,CLT,-10,-31,0,,,,,
2015,1,1,4,AA,2392,DEN,MIA,21,2,0,,,,,
2015,1,1,4,NK,168,PHX,ORD,72,43,0,43,0,0,0,0
2015,1,1,4,AA,2211,PHX,MIA,-11,-16,0,,,,,
