Source,Target
6130,47350
6130,47351
6130,47352
6130,47353
6130,47354
6130,47355
6130,47356
6130,47357
6130,47358
6130,47359
258380,20789
258380,20791
258380,20792
258380,26199
258380,26202
258380,26203
258380,26205
258380,258381
258380,258382
258380,258384
211463,19163
211463,108781
211463,140051
211463,186012
211463,186015
211463,211464
211463,267681
211463,278125
91158,3878
91158,58397
91158,79767
91158,91157
91158,184171
91158,184173
91158,184174
91158,302409
91158,302410
91158,302411
250879,2611
250879,9856
250879,9863
250879,15038
250879,20890
250879,38002
250879,75298
250879,250880
23792,14379
23792,23785
23792,23788
23792,23789
23792,23791
23792,27514
23792,27515
23792,27516
23792,27517
23792,27518
311376,106512
311376,109688
311376,109689
311376,109691
311376,237460
311376,284563
311376,284564
4739,2588
4739,4298
4739,4299
4739,4300
4739,4736
4739,4737
4739,11357
4739,16188
4739,16191
4739,16193
84842,30884
84842,84839
84842,84840
84842,93677
84842,93678
84842,93679
84842,93680
84842,93681
84842,93682
84842,93683
153628,18212
153628,126556
153628,129001
153628,134392
153628,134393
153628,134395
153628,134396
153628,146913
153628,154567
153628,154568
109188,8255
109188,16070
109188,26823
109188,31898
109188,31899
109188,50083
109188,54272
109188,106189
109188,115346
109188,115347
139595,87536
139595,131085
139595,131584
139595,139596
139595,139597
139595,195457
139595,195458
139595,195459
139595,195460
139595,195461
296,34
296,94
296,165
296,167
296,230
296,231
296,232
296,295
296,1156
296,1157
237472,529
237472,105356
237472,190914
237472,234192
237472,234193
237472,234194
237472,234195
237472,234197
237472,234199
120549,22015
120549,32992
120549,67152
120549,88910
120549,88912
120549,88913
120549,92497
120549,92499
120549,172777
120549,174427
101485,52896
101485,89650
101485,89652
195904,37297
195904,51727
195904,63134
195904,79295
195904,92693
195904,163737
195904,170864
195904,246942
195904,246943
195904,246944
24842,4689
24842,7123
24842,10805
24842,10806
24842,10807
24842,10808
24842,10809
24842,11045
24842,14787
24842,14812
66221,17389
66221,47644
66221,48524
66221,66220
66221,66223
66221,100513
66221,100514
66221,100515
66221,100516
66221,100517
188765,181392
188765,181393
188765,181394
188765,181395
188765,181396
188765,188767
188765,188768
188765,239321
188765,280812
188765,284260
361955,310382
158895,72863
158895,118045
158895,120179
158895,120181
158895,254122
158895,254123
391401,372986
391401,391398
391401,391399
391401,391402
391401,396986
391401,399451
361528,24034
361528,43909
361528,47178
361528,64825
361528,64826
361528,195303
361528,196452
361528,196453
361528,321578
361528,361529
98756,95557
193107,2063
193107,4487
193107,9138
193107,15103
193107,22689
193107,45052
193107,92042
193107,92043
193107,193106
193107,222497
111164,7710
111164,50775
111164,107793
111164,109756
111164,200427
263418,94874
263418,197351
263418,255733
263418,263420
191881,9826
191881,94749
191881,94750
191881,167181
191881,167182
191881,180991
191881,180992
191881,180993
191881,180995
191881,199148
45703,18176
45703,21287
45703,39468
45703,45704
45703,45706
45703,45708
45703,55190
45703,70677
45703,75785
45703,110670
189465,530
189465,2645
189465,4125
189465,10463
189465,43963
189465,119957
189465,176996
189465,190866
216201,44535
216201,93342
216201,107039
216201,107326
216201,107327
216201,111366
216201,111367
216201,124156
216201,145521
216201,145525
77140,39333
77140,54872
